#            time (s)	            H1 strain            H2 strain
  -1.642199993134E+01	  +3.018985990781E-01	  +1.294386295118E+01
  -1.642175579071E+01	  +2.268535704072E+01	  +1.452625195774E+01
  -1.642151165009E+01	  +4.244963953427E+01	  +1.646750180645E+01
  -1.642126750946E+01	  +5.738602125829E+01	  +1.883951922423E+01
  -1.642102336884E+01	  +6.601049157675E+01	  +2.155799616036E+01
  -1.642077922821E+01	  +6.772486978591E+01	  +2.435695379772E+01
  -1.642053508759E+01	  +6.281123838452E+01	  +2.686280845775E+01
  -1.642029094696E+01	  +5.228753862291E+01	  +2.874047427925E+01
  -1.642004680634E+01	  +3.767477103674E+01	  +2.984150716407E+01
  -1.641980266571E+01	  +2.073157829136E+01	  +3.027945836926E+01
  -1.641955852509E+01	  +3.203843046778E+00	  +3.039503997834E+01
  -1.641931438446E+01	  -1.337875894985E+01	  +3.063362841558E+01
  -1.641907024384E+01	  -2.784356369242E+01	  +3.140444516683E+01
  -1.641882610321E+01	  -3.944977630507E+01	  +3.299489856388E+01
  -1.641858196259E+01	  -4.790232620242E+01	  +3.557223623993E+01
  -1.641833782196E+01	  -5.331479477563E+01	  +3.924361620559E+01
  -1.641809368134E+01	  -5.613346311110E+01	  +4.410223925273E+01
  -1.641784954071E+01	  -5.703400208618E+01	  +5.018897266054E+01
  -1.641760540009E+01	  -5.680184353354E+01	  +5.734951225105E+01
  -1.641736125946E+01	  -5.620864198279E+01	  +6.504161909590E+01
  -1.641711711884E+01	  -5.589933532229E+01	  +7.220220849839E+01
  -1.641687297821E+01	  -5.630479997325E+01	  +7.728385341221E+01
  -1.641662883759E+01	  -5.759302255790E+01	  +7.850910493554E+01
  -1.641638469696E+01	  -5.966708630528E+01	  +7.429733390867E+01
  -1.641614055634E+01	  -6.221073552184E+01	  +6.373706742785E+01
  -1.641589641571E+01	  -6.477249094781E+01	  +4.694468791880E+01
  -1.641565227509E+01	  -6.687045386765E+01	  +2.518198040281E+01
  -1.641540813446E+01	  -6.809571589530E+01	  +6.843265431965E-01
  -1.641516399384E+01	  -6.819368929817E+01	  -8.184648860722E+00
  -1.641491985321E+01	  -6.710828152486E+01	  -1.993543187076E+01
  -1.641467571259E+01	  -6.498214704567E+01	  -2.997449148477E+01
  -1.641443157196E+01	  -6.211597818799E+01	  -3.691019273097E+01
  -1.641418743134E+01	  -5.889858566224E+01	  -3.997499689588E+01
  -1.641394329071E+01	  -5.572469463117E+01	  -3.915061729815E+01
  -1.641369915009E+01	  -5.291821437577E+01	  -3.510748514662E+01
  -1.641345500946E+01	  -5.067625244309E+01	  -2.897376275403E+01
  -1.641321086884E+01	  -4.904407284047E+01	  -2.200811870900E+01
  -1.641296672821E+01	  -4.792393114937E+01	  -1.528637379186E+01
  -1.641272258759E+01	  -4.711289229267E+01	  -9.503047190979E+00
  -1.641247844696E+01	  -4.635891483254E+01	  -4.936186214332E+00
  -1.641223430634E+01	  -4.542191755303E+01	  -1.552601636836E+00
  -1.641199016571E+01	  -4.412666095207E+01	  +8.244896087753E-01
  -1.641174602509E+01	  -4.239652319262E+01	  +2.376122585289E+00
  -1.641150188446E+01	  -4.026176822853E+01	  +3.233737383705E+00
  -1.641125774384E+01	  -3.784215938929E+01	  +3.509528942918E+00
  -1.641101360321E+01	  -3.530994909259E+01	  +3.360472822222E+00
  -1.641076946259E+01	  -3.284358974729E+01	  +3.022303724737E+00
  -1.641052532196E+01	  -3.058427383755E+01	  +2.776616964822E+00
  -1.641028118134E+01	  -2.860631862769E+01	  +2.862265862612E+00
  -1.641003704071E+01	  -2.690806935485E+01	  +3.381704459099E+00
  -1.640979290009E+01	  -2.542332862213E+01	  +4.260294118653E+00
  -1.640954875946E+01	  -2.404719512707E+01	  +5.287435195713E+00
  -1.640930461884E+01	  -2.266727602353E+01	  +6.220553746030E+00
  -1.640906047821E+01	  -2.119187401013E+01	  +6.896107633770E+00
  -1.640881633759E+01	  -1.956952056851E+01	  +7.288345537236E+00
  -1.640857219696E+01	  -1.779767077264E+01	  +7.487800257309E+00
  -1.640832805634E+01	  -1.592143900231E+01	  +7.618053629720E+00
  -1.640808391571E+01	  -1.402489203782E+01	  +7.743937130710E+00
  -1.640783977509E+01	  -1.221725324134E+01	  +7.827359543586E+00
  -1.640759563446E+01	  -1.061552928166E+01	  +7.756897162691E+00
  -1.640735149384E+01	  -9.325043903246E+00	  +7.432071379724E+00
  -1.640710735321E+01	  -8.420273628906E+00	  +6.850008547216E+00
